threshold,fold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
0.55,3,0.1,0.5,balanced,1883,0.4520547945205479,0.11785714285714285,0.18696883852691218,0.6557411475833549,0.6883821932681867
0.55,4,0.1,0.5,balanced,1912,0.4583333333333333,0.10819672131147541,0.17506631299734748,0.6335331498951782,0.6619565217391304
0.55,5,0.1,0.5,balanced,1895,0.5694444444444444,0.1453900709219858,0.23163841807909605,0.6969503406708595,0.7043478260869566
0.6,1,0.1,0.5,balanced,1872,0.4027777777777778,0.14356435643564355,0.2116788321167883,0.6970455437769925,0.7654723127035831
0.6,2,0.1,0.5,balanced,1859,0.4246575342465753,0.14418604651162792,0.2152777777777778,0.7080317911605065,0.754614549402823
0.6,3,0.1,0.5,balanced,1883,0.3287671232876712,0.11594202898550725,0.17142857142857143,0.6557411475833549,0.748099891422367
0.6,4,0.1,0.5,balanced,1912,0.3611111111111111,0.11403508771929824,0.17333333333333334,0.6335331498951782,0.7304347826086957
0.6,5,0.1,0.5,balanced,1895,0.4305555555555556,0.15816326530612246,0.23134328358208955,0.6969503406708595,0.7760869565217391
0.65,1,0.1,0.5,balanced,1872,0.2916666666666667,0.15671641791044777,0.20388349514563106,0.6970455437769925,0.8219326818675353
0.65,2,0.1,0.5,balanced,1859,0.3013698630136986,0.15492957746478872,0.20465116279069767,0.7080317911605065,0.8143322475570033
0.65,3,0.1,0.5,balanced,1883,0.2191780821917808,0.11594202898550725,0.15165876777251186,0.6557411475833549,0.8056460369163952
0.65,4,0.1,0.5,balanced,1912,0.2361111111111111,0.1111111111111111,0.1511111111111111,0.6335331498951782,0.7923913043478261
0.65,5,0.1,0.5,balanced,1895,0.2777777777777778,0.16129032258064516,0.20408163265306123,0.6969503406708595,0.8304347826086956
0.7,1,0.1,0.5,balanced,1872,0.18055555555555555,0.17333333333333334,0.17687074829931973,0.6970455437769925,0.8686210640608035
0.7,2,0.1,0.5,balanced,1859,0.2054794520547945,0.19480519480519481,0.2,0.7080317911605065,0.8697068403908795
0.7,3,0.1,0.5,balanced,1883,0.1232876712328767,0.125,0.12413793103448276,0.6557411475833549,0.8621064060803475
0.7,4,0.1,0.5,balanced,1912,0.20833333333333334,0.16666666666666666,0.18518518518518517,0.6335331498951782,0.8565217391304348
0.7,5,0.1,0.5,balanced,1895,0.18055555555555555,0.16883116883116883,0.174496644295302,0.6969503406708595,0.866304347826087
0.75,1,0.1,0.5,balanced,1872,0.08333333333333333,0.15,0.10714285714285714,0.6970455437769925,0.8914223669923995
0.75,2,0.1,0.5,balanced,1859,0.0958904109589041,0.25,0.13861386138613863,0.7080317911605065,0.9055374592833876
0.75,3,0.1,0.5,balanced,1883,0.0684931506849315,0.15151515151515152,0.09433962264150944,0.6557411475833549,0.8957654723127035
0.75,4,0.1,0.5,balanced,1912,0.1527777777777778,0.21153846153846154,0.1774193548387097,0.6335331498951782,0.8891304347826087
0.75,5,0.1,0.5,balanced,1895,0.16666666666666666,0.2926829268292683,0.21238938053097345,0.6969503406708595,0.9032608695652173
0.8,1,0.1,0.5,balanced,1872,0.05555555555555555,0.2222222222222222,0.08888888888888889,0.6970455437769925,0.9109663409337676
0.8,2,0.1,0.5,balanced,1859,0.0410958904109589,0.3,0.07228915662650602,0.7080317911605065,0.9163952225841476
0.8,3,0.1,0.5,balanced,1883,0.0136986301369863,0.08333333333333333,0.023529411764705882,0.6557411475833549,0.9098805646036916
0.8,4,0.1,0.5,balanced,1912,0.041666666666666664,0.15,0.06521739130434782,0.6335331498951782,0.9065217391304348
0.8,5,0.1,0.5,balanced,1895,0.027777777777777776,0.2222222222222222,0.04938271604938271,0.6969503406708595,0.9163043478260869
0.85,1,0.1,0.5,balanced,1872,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.6970455437769925,0.9174809989142236
0.85,2,0.1,0.5,balanced,1859,0.0136986301369863,0.5,0.02666666666666667,0.7080317911605065,0.9207383279044516
0.85,3,0.1,0.5,balanced,1883,0.0136986301369863,0.25,0.025974025974025976,0.6557411475833549,0.9185667752442996
0.85,4,0.1,0.5,balanced,1912,0.013888888888888888,0.25,0.02631578947368421,0.6335331498951782,0.9195652173913044
0.85,5,0.1,0.5,balanced,1895,0.013888888888888888,0.3333333333333333,0.02666666666666667,0.6969503406708595,0.9206521739130434
0.9,1,0.1,0.5,balanced,1872,0.0,0.0,0.0,0.6970455437769925,0.9218241042345277
0.9,2,0.1,0.5,balanced,1859,0.0,0.0,0.0,0.7080317911605065,0.9207383279044516
0.9,3,0.1,0.5,balanced,1883,0.0,0.0,0.0,0.6557411475833549,0.9207383279044516
0.9,4,0.1,0.5,balanced,1912,0.0,0.0,0.0,0.6335331498951782,0.9217391304347826
0.9,5,0.1,0.5,balanced,1895,0.0,0.0,0.0,0.6969503406708595,0.9217391304347826
0.95,1,0.1,0.5,balanced,1872,0.0,0.0,0.0,0.6970455437769925,0.9218241042345277
0.95,2,0.1,0.5,balanced,1859,0.0,0.0,0.0,0.7080317911605065,0.9207383279044516
0.95,3,0.1,0.5,balanced,1883,0.0,0.0,0.0,0.6557411475833549,0.9207383279044516
0.95,4,0.1,0.5,balanced,1912,0.0,0.0,0.0,0.6335331498951782,0.9217391304347826
0.95,5,0.1,0.5,balanced,1895,0.0,0.0,0.0,0.6969503406708595,0.9217391304347826
