fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
5,0.3,1.0,0.2,"0:1.0,1:2.0",1895,0.16666666666666666,0.1935483870967742,0.1791044776119403,0.6961150419287211,0.8804347826086957
1,0.3,1.0,0.2,"0:1.0,1:4.0",1872,0.5416666666666666,0.14285714285714285,0.22608695652173913,0.6985342232692057,0.7100977198697068
2,0.3,1.0,0.2,"0:1.0,1:4.0",1859,0.547945205479452,0.1384083044982699,0.22099447513812154,0.7011663220470405,0.6938110749185668
3,0.3,1.0,0.2,"0:1.0,1:4.0",1883,0.410958904109589,0.10638297872340426,0.16901408450704225,0.6430763763246317,0.6796959826275787
4,0.3,1.0,0.2,"0:1.0,1:4.0",1912,0.5,0.11764705882352941,0.19047619047619047,0.6373329402515724,0.6673913043478261
5,0.3,1.0,0.2,"0:1.0,1:4.0",1895,0.6111111111111112,0.15492957746478872,0.24719101123595505,0.6970649895178197,0.7086956521739131
1,0.3,1.0,0.2,"0:1.0,1:6.0",1872,0.6944444444444444,0.1201923076923077,0.20491803278688525,0.6984197094621123,0.5787187839305103
2,0.3,1.0,0.2,"0:1.0,1:6.0",1859,0.7808219178082192,0.13194444444444445,0.22574257425742575,0.7015055569914707,0.5754614549402823
3,0.3,1.0,0.2,"0:1.0,1:6.0",1883,0.7123287671232876,0.1187214611872146,0.2035225048923679,0.6426563711553374,0.5580890336590663
4,0.3,1.0,0.2,"0:1.0,1:6.0",1912,0.6944444444444444,0.1072961373390558,0.18587360594795538,0.6376768867924528,0.5239130434782608
5,0.3,1.0,0.2,"0:1.0,1:6.0",1895,0.75,0.1261682242990654,0.216,0.6978675314465409,0.5739130434782609
1,0.3,1.0,0.5,none,1872,0.027777777777777776,0.25,0.05,0.6982070409632246,0.9174809989142236
2,0.3,1.0,0.5,none,1859,0.0273972602739726,0.6666666666666666,0.05263157894736842,0.7031048074437838,0.9218241042345277
3,0.3,1.0,0.5,none,1883,0.0136986301369863,0.2,0.02564102564102564,0.6451764021711036,0.9174809989142236
4,0.3,1.0,0.5,none,1912,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.6340408805031446,0.9173913043478261
5,0.3,1.0,0.5,none,1895,0.013888888888888888,0.25,0.02631578947368421,0.6941168763102725,0.9195652173913044
1,0.3,1.0,0.5,balanced,1872,0.9722222222222222,0.10670731707317073,0.19230769230769232,0.6975363172359639,0.36156351791530944
2,0.3,1.0,0.5,balanced,1859,0.9315068493150684,0.10461538461538461,0.18810511756569848,0.702167872835358,0.36264929424538545
3,0.3,1.0,0.5,balanced,1883,0.9041095890410958,0.09984871406959153,0.17983651226158037,0.6442394675626776,0.3463626492942454
4,0.3,1.0,0.5,balanced,1912,0.8611111111111112,0.09393939393939393,0.16939890710382513,0.637267426624738,0.3391304347826087
5,0.3,1.0,0.5,balanced,1895,0.8472222222222222,0.09172932330827067,0.1655359565807327,0.6978347746331237,0.33152173913043476
1,0.3,1.0,0.5,"0:1.0,1:2.0",1872,0.1527777777777778,0.15942028985507245,0.15602836879432624,0.6988123282292893,0.8707926167209555
2,0.3,1.0,0.5,"0:1.0,1:2.0",1859,0.1506849315068493,0.21568627450980393,0.1774193548387097,0.7015378650814164,0.8892508143322475
3,0.3,1.0,0.5,"0:1.0,1:2.0",1883,0.0821917808219178,0.10909090909090909,0.09375,0.6433348410441974,0.8740499457111836
4,0.3,1.0,0.5,"0:1.0,1:2.0",1912,0.18055555555555555,0.1566265060240964,0.16774193548387098,0.635482180293501,0.8597826086956522
5,0.3,1.0,0.5,"0:1.0,1:2.0",1895,0.16666666666666666,0.19672131147540983,0.18045112781954886,0.6957547169811321,0.8815217391304347
1,0.3,1.0,0.5,"0:1.0,1:4.0",1872,0.5416666666666666,0.14285714285714285,0.22608695652173913,0.6984033503468132,0.7100977198697068
2,0.3,1.0,0.5,"0:1.0,1:4.0",1859,0.5342465753424658,0.13448275862068965,0.21487603305785125,0.701101705867149,0.6905537459283387
3,0.3,1.0,0.5,"0:1.0,1:4.0",1883,0.410958904109589,0.10600706713780919,0.16853932584269662,0.6427048332902559,0.6786102062975027
4,0.3,1.0,0.5,"0:1.0,1:4.0",1912,0.5,0.1180327868852459,0.1909814323607427,0.636333857442348,0.6684782608695652
5,0.3,1.0,0.5,"0:1.0,1:4.0",1895,0.6111111111111112,0.1543859649122807,0.24649859943977592,0.6968029350104823,0.7076086956521739
1,0.3,1.0,0.5,"0:1.0,1:6.0",1872,0.6944444444444444,0.12048192771084337,0.2053388090349076,0.6983542730009161,0.5798045602605864
2,0.3,1.0,0.5,"0:1.0,1:6.0",1859,0.7808219178082192,0.1313364055299539,0.22485207100591717,0.7014086327216335,0.5732899022801303
3,0.3,1.0,0.5,"0:1.0,1:6.0",1883,0.7123287671232876,0.1187214611872146,0.2035225048923679,0.6427209873352288,0.5580890336590663
4,0.3,1.0,0.5,"0:1.0,1:6.0",1912,0.6944444444444444,0.10752688172043011,0.186219739292365,0.6374148322851153,0.525
5,0.3,1.0,0.5,"0:1.0,1:6.0",1895,0.75,0.12558139534883722,0.2151394422310757,0.6973598008385745,0.5717391304347826
1,0.3,1.0,0.8,none,1872,0.013888888888888888,0.14285714285714285,0.02531645569620253,0.6989432011516816,0.9163952225841476
2,0.3,1.0,0.8,none,1859,0.0273972602739726,0.6666666666666666,0.05263157894736842,0.7034925045231326,0.9218241042345277
3,0.3,1.0,0.8,none,1883,0.0136986301369863,0.25,0.025974025974025976,0.6466302662186612,0.9185667752442996
4,0.3,1.0,0.8,none,1912,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.6324849318658281,0.9173913043478261
