fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
1,0.3,0.01,0.5,"0:1.0,1:6.0",1872,0.7222222222222222,0.11016949152542373,0.19117647058823528,0.677103782227457,0.5222584147665581
2,0.3,0.01,0.5,"0:1.0,1:6.0",1859,0.821917808219178,0.12396694214876033,0.21543985637342908,0.6927339105712069,0.5255157437567861
3,0.3,0.01,0.5,"0:1.0,1:6.0",1883,0.7534246575342466,0.11652542372881355,0.2018348623853211,0.6566619281468079,0.5276872964169381
4,0.3,0.01,0.5,"0:1.0,1:6.0",1912,0.6944444444444444,0.10080645161290322,0.176056338028169,0.6319608228511531,0.49130434782608695
5,0.3,0.01,0.5,"0:1.0,1:6.0",1895,0.8055555555555556,0.12058212058212059,0.20976491862567812,0.6922988731656184,0.525
1,0.3,0.01,0.8,none,1872,0.0,0.0,0.0,0.6392078916372204,0.9218241042345277
2,0.3,0.01,0.8,none,1859,0.0,0.0,0.0,0.6904481132075472,0.9207383279044516
3,0.3,0.01,0.8,none,1883,0.0,0.0,0.0,0.6412186611527527,0.9207383279044516
4,0.3,0.01,0.8,none,1912,0.0,0.0,0.0,0.6058863993710693,0.9217391304347826
5,0.3,0.01,0.8,none,1895,0.0,0.0,0.0,0.6438433569182388,0.9217391304347826
1,0.3,0.01,0.8,balanced,1872,1.0,0.08877928483353884,0.16308040770101925,0.6746989922784976,0.1976112920738328
2,0.3,0.01,0.8,balanced,1859,0.9726027397260274,0.08626974483596597,0.15848214285714285,0.6932669940553114,0.18132464712269272
3,0.3,0.01,0.8,balanced,1883,1.0,0.08795180722891566,0.16168327796234774,0.6686643835616438,0.1780673181324647
4,0.3,0.01,0.8,balanced,1912,0.9583333333333334,0.08529048207663782,0.15664018161180476,0.6359407756813417,0.1923913043478261
5,0.3,0.01,0.8,balanced,1895,1.0,0.08695652173913043,0.16,0.6897274633123691,0.1782608695652174
1,0.3,0.01,0.8,"0:1.0,1:2.0",1872,0.0,0.0,0.0,0.6708137023949745,0.9218241042345277
2,0.3,0.01,0.8,"0:1.0,1:2.0",1859,0.0,0.0,0.0,0.6947047040578961,0.9207383279044516
3,0.3,0.01,0.8,"0:1.0,1:2.0",1883,0.0,0.0,0.0,0.6693590074954768,0.9207383279044516
4,0.3,0.01,0.8,"0:1.0,1:2.0",1912,0.0,0.0,0.0,0.6318052279874213,0.9217391304347826
5,0.3,0.01,0.8,"0:1.0,1:2.0",1895,0.0,0.0,0.0,0.6732180293501049,0.9217391304347826
1,0.3,0.01,0.8,"0:1.0,1:4.0",1872,0.4166666666666667,0.13274336283185842,0.20134228187919462,0.6755333071587488,0.741585233441911
2,0.3,0.01,0.8,"0:1.0,1:4.0",1859,0.4794520547945205,0.14522821576763487,0.2229299363057325,0.6924915998966141,0.7350705754614549
