threshold,C,l1_ratio,class_weight,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,balanced_score,is_best
0.3,0.01,0.5,"0:1.0,1:4.0",0.4529680365296803,0.031315457774896555,0.13402272301951396,0.00964540654567036,0.2068260312829661,0.014604375254398255,0.6719233268836391,0.024373130365574855,0.7266990039182364,0.00789896759148656,0.35548726491125193,False
0.3,0.01,0.8,"0:1.0,1:4.0",0.4308980213089802,0.030379920318035634,0.1320330188248075,0.009827098992691723,0.2020550762274444,0.014269257006407937,0.6723896138886005,0.022612519532627533,0.7321290657602795,0.013086531231772511,0.34726935293347716,False
0.3,0.01,0.2,"0:1.0,1:4.0",0.4419330289193303,0.03671190399543747,0.12597933217830523,0.010940069951316453,0.19603636530846832,0.016654185435128654,0.670466432604893,0.029145624986252915,0.7147497993674172,0.0110371615954328,0.3471771195684711,False
0.3,10.0,0.8,"0:1.0,1:2.0",0.14935312024353117,0.03385376360908734,0.16666426580410354,0.030132866951597188,0.15658783543826413,0.029155306449552235,0.6745586226444354,0.03339293527131735,0.8742109238540339,0.009194353939329953,0.26053068591253836,False
0.3,10.0,0.5,"0:1.0,1:2.0",0.14935312024353117,0.03385376360908734,0.1664945926092541,0.03005419622140569,0.1565881547741406,0.029393039239465544,0.6745583919931716,0.03330825809910314,0.8742113959306991,0.00875887094133328,0.2604883013175423,False
0.3,10.0,0.2,"0:1.0,1:2.0",0.14935312024353117,0.03385376360908734,0.16582119193585343,0.029564445010556422,0.15634209178201458,0.02938885284765081,0.674600763063724,0.03328595899956323,0.8739942406646838,0.008469719921747776,0.2602669096152711,False
0.3,1.0,0.5,"0:1.0,1:2.0",0.1465753424657534,0.03794376801797195,0.16750905819105832,0.041142855313284585,0.15507815738729117,0.0355855792352651,0.6749843863259073,0.03265877631993915,0.8750795449180947,0.011132843625572313,0.25961628389949487,False
0.3,1.0,0.2,"0:1.0,1:2.0",0.1465753424657534,0.03794376801797195,0.1664269265894142,0.03927274357315624,0.15474280304748705,0.03523356483240115,0.6750907467905268,0.03249608497262379,0.8748623896520794,0.010259559797052275,0.25928318450705673,False
0.3,0.1,0.2,"0:1.0,1:2.0",0.13550228310502282,0.034989096586865054,0.1762385175542686,0.048380571942448145,0.1525944209356663,0.03881403019873413,0.6762795748830406,0.03278166228057066,0.8815984515885379,0.00856064272527163,0.2581148345305987,False
0.3,0.1,0.5,"0:1.0,1:2.0",0.12724505327245053,0.0351740529899406,0.18304778554778553,0.05174413525227986,0.14938282032927702,0.04056535070580192,0.6744244920107816,0.03185181221644604,0.8861620167115138,0.008926529669207078,0.2561660658531571,False
0.3,1.0,0.8,"0:1.0,1:2.0",0.1383181126331811,0.038613621874995036,0.1609834386367828,0.034981916566793364,0.1473255256968477,0.03308587920973602,0.6748567490750016,0.032675146892198116,0.8752969362224425,0.01087293751801126,0.2535440246883623,False
0.3,0.1,0.8,"0:1.0,1:2.0",0.11621004566210044,0.04163351022613837,0.19013857824801733,0.0670708214487061,0.14349895607754423,0.05025078594681783,0.671787126625286,0.03063942469072738,0.8911589482131899,0.008688833701579891,0.2526298226050777,False
0.3,1.0,0.2,none,0.01933028919330289,0.007539385652583723,0.32333333333333336,0.2019350830781461,0.036116059379217275,0.013912852691269992,0.6749476107154818,0.03246915813316883,0.918965916064769,0.002115541602741293,0.2306509570792249,False
0.3,1.0,0.5,none,0.01933028919330289,0.007539385652583723,0.3066666666666667,0.20432816741702547,0.03604588394062078,0.013973184360233497,0.6749292014783059,0.03263806560922106,0.9187485247604211,0.0019481700865688208,0.22646306470547395,False
0.3,1.0,0.8,none,0.016552511415525113,0.006062958664051823,0.29523809523809524,0.21319165150659355,0.031175775146461353,0.011999940087805142,0.6751433830579403,0.03303295972640347,0.9187485247604211,0.002093996610713166,0.22159789763238474,False
0.3,10.0,0.2,none,0.016552511415525113,0.006062958664051823,0.2952380952380952,0.22118522214273506,0.031114436529493156,0.012041194550627026,0.6741853131511829,0.03366682706215002,0.9185316055327386,0.002538006548218729,0.2213909489967912,False
